:W,lux,msun,Msun,mcloud,Mcloud,mwind,Mwind,mdwind,Mdwind,mtemp,Mtemp,mhum,Mhum,,,,,,,
nothing,1,0.5,0.5,0,1,0,0,0,0,0,0,0,0,,,,,,,
sougen,1,0.5,0.8,0,1,0,0.5,0,0.25,-0.25,0.25,-0.25,0.25,,,,,,,
mori,0.8,0.5,0.8,0,1,0,0.5,0,0.25,-0.2,0.2,-0.2,0.35,,,,,,,
setugen,1,0.3,0.6,0,1,0,0.5,0,0.25,-0.6,-0.2,-0.2,0.3,,,,,,,
savanna,1,0.6,0.9,0,0.7,0,0.6,0,0.3,0.2,0.7,-0.6,0.1,,,,,,,
desert,1,0.8,1,-0.5,0.7,0,0.7,0,0.3,0.5,1,-1,0,,,,,,,
pureland,1,0.7,0.9,0,1,0,0.5,0,0.25,-0.1,0.35,-0.3,0.2,,,,,,,
curseland,0.5,0.5,0.8,0,1,0,0.5,0,0.25,-0.25,0.25,-0.1,0.4,,,,,,,
lightningplain,0.9,0.7,0.9,0,1.5,0,0.4,0,0.2,-0.2,0.2,-0.4,0.2,,,,,,,
windshome,1,0.6,0.9,0,1.1,0.5,1,0.25,0.5,-0.1,0.4,-0.3,0.3,,,,,,,
wilderness,1,0.6,0.9,0,1.2,0.3,0.7,0,0.3,-0.3,0.3,-0.4,0.2,,,,,,,
volcano,1,0.5,0.8,0,1,0,0.25,0,0.2,-0.1,0.4,-0.25,0.3,,,,,,,
southhell,0.6,0,0.3,0.4,1,0.2,1,0.1,0.35,-1,-0.5,-0.4,0.1,,,,,,,
mountains,1,0.4,0.7,0,1,0,0.65,0,0.3,-0.35,0.35,-0.2,0.5,,,,,,,
countryofsuntree,1,0.8,1,0,1,0,0.5,0,0.25,-0.4,0.3,-0.25,0.25,,,,,,,
jungle,0.5,0.8,1,0,1,0,0.3,0,0.2,0.2,0.9,0.3,1,,,,,,,
nanokuni,1,0.4,0.7,0,1,0,0.75,0,0.35,-0.5,0.5,0.1,1,,,,,,,
flowergarden,1,0.7,0.9,0,1,0,0.4,0,0.2,-0.2,0.65,-0.1,0.65,,,,,,,
believerscapital,1,0.6,0.85,0,1,0,0.6,0,0.3,-0.3,0.3,-0.3,0.3,,,,,,,
:WP,f,fp,i,ip,w,wp,e,ep,t,tp,l,lp,d,dp,rain,rainp,snow,snowp,sand,sandp
nothing,0,1,0,1,0,1,0,1,5,1,5,1,5,1,10,1,0,1,0,1
sougen,10,1,10,1,10,1,5,1,5,1,5,1,5,1,10,1,5,1,1,1
mori,10,1,10,1,20,1,0,1,5,1,0,1,0,1,10,1,5,1,0,1
setugen,1,1,20,0.85,35,1,0,1,5,1,0,1,0,1,5,1,35,1,0,1
savanna,35,1,0,1,20,1,20,1,5,1,10,1,5,1,7.5,1,0,1,10,1
desert,20,0.85,0,1,0,1,20,0.85,5,1,5,1,5,1,5,1,0,1,35,1
pureland,0,1,0,1,20,1,10,1,0,1,50,0.75,0,1,10,1,0,1,2.5,1
curseland,0,1,0,1,20,1,5,1,5,1,0,1,50,0.75,10,1,0,1,1,1
lightningplain,0,1,0,1,10,1,5,1,50,0.75,0,1,10,1,15,1,0,1,1,1
windshome,0,1,0,1,50,0.75,5,1,5,1,0,1,5,1,10,1,0,1,2,1
wilderness,5,1,0,1,10,1,50,0.75,1,1,1,1,1,1,10,1,0,1,45,1
volcano,50,0.75,0,1,5,1,0,1,0,1,5,1,5,1,10,1,0,1,1,1
southhell,0,1,50,0.75,5,1,0,1,5,1,0,1,5,1,0,1,95,1.5,0,1
mountains,25,1,15,1,20,1,0,1,15,1,15,1,15,1,20,1,5,1,0,1
countryofsuntree,10,1,35,1,35,1,5,1,5,1,2.5,1,1,1,30,1,7.5,1,0,1
jungle,0,1,0,1,5,1,0,1,1,1,5,1,10,1,20,0.8,0,1,0,1
nanokuni,5,1,20,1,5,1,0,1,7.5,1,2.5,1,1,1,10,1,5,1,1,1
flowergarden,0,1,1,1,1,1,1,1,5,1,7.5,1,7.5,1,15,1,0,1,0,1
believerscapital,5,1,10,1,15,1,5,1,5,1,20,0.85,5,1,10,1,5,1,1,1
